rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,is whole foods open on labor day,breakout,today,80,81,81,75,0,89,high,Breakout,56,78,56,whole foods,rising query,,Google Trends labels it Breakout; interest moved from 0 to 56; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,cheap meal ideas,breakout,today,66,80,43,75,0,88,high,Breakout,5,32,4,nutrition ideas,rising query,,Google Trends labels it Breakout; interest moved from 1 to 5; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,how to read nutrition labels,breakout,today,65,80,39,75,0,88,high,Breakout,0,31,-1,nutrition products,rising query,,Google Trends labels it Breakout; interest moved from 1 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,chipotle nutrition calculator,breakout,today,65,82,38,75,0,89,high,Breakout,2,7,-3,nutrition reviews,rising query,,Google Trends labels it Breakout; interest moved from 5 to 2; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,lunch meal prep,rising,monitor,56,34,83,60,100,20,medium,,67,85,49,meal prep,top query,,interest moved from 18 to 67; found through top query,Track as a developing query and compare against existing coverage.
6,vegetarian meal prep ideas,rising,monitor,55,55,43,75,0,73,high,'+450%,4,37,4,meal prep,rising query,,Google Trends labels it +450%; interest moved from 0 to 4; found through rising query,Track as a developing query and compare against existing coverage.
7,healthy meal prep,rising,monitor,54,31,79,60,100,19,medium,,78,100,40,meal prep,top query,,interest moved from 38 to 78; found through top query,Track as a developing query and compare against existing coverage.
8,best meal prep containers,watch,monitor,53,48,47,75,0,69,high,'+350%,12,100,8,meal prep,rising query,,Google Trends labels it +350%; interest moved from 4 to 12; found through rising query,Keep on watchlist unless another signal channel confirms it.
9,whole foods old town,watch,monitor,53,53,40,75,0,72,high,'+350%,0,22,0,whole foods,rising query,,Google Trends labels it +350%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
10,best meal prep recipes,watch,monitor,52,48,44,75,0,69,high,'+350%,8,87,5,meal prep,rising query,,Google Trends labels it +350%; interest moved from 3 to 8; found through rising query,Keep on watchlist unless another signal channel confirms it.
11,whole foods near me,rising,monitor,52,25,81,60,100,15,medium,,85,100,37,whole foods,top query,,interest moved from 48 to 85; found through top query,Track as a developing query and compare against existing coverage.
12,meal prep recipes,rising,monitor,50,33,59,75,0,60,high,'+60%,33,82,21,meal prep,rising query,,Google Trends labels it +60%; interest moved from 12 to 33; found through rising query,Track as a developing query and compare against existing coverage.
13,meal prep ideas,rising,monitor,50,27,74,60,100,16,medium,,62,100,36,meal prep,top query,,interest moved from 26 to 62; found through top query,Track as a developing query and compare against existing coverage.
