rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,hayden panettiere mental health,breakout,today,66,82,40,75,0,89,high,Breakout,0,62,0,mental health,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,hayden panettiere depression,breakout,today,66,80,42,75,0,88,high,Breakout,0,100,0,depression,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,hayden panettiere postpartum depression,breakout,today,66,81,41,75,0,89,high,Breakout,0,56,0,depression,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,wear green for mental health awareness 2023,breakout,today,66,82,40,75,0,89,high,Breakout,0,39,0,mental health awareness,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,how long does autistic burnout last,emerging,this_week,66,82,40,75,0,89,high,'+4000%,0,72,0,burnout,rising query,,Google Trends labels it +4000%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
6,did hayden panettiere have mental health issues,emerging,this_week,66,82,40,75,0,89,high,'+3000%,0,49,0,mental health,rising query,,Google Trends labels it +3000%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,selena gomez mental health company,emerging,this_week,66,82,40,75,0,89,high,'+1000%,0,67,0,mental health,rising query,,Google Trends labels it +1000%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,sprinter health careers,emerging,this_week,65,80,41,75,0,88,high,'+1950%,0,100,0,therapy,rising query,,Google Trends labels it +1950%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,bangkok stem cell therapy,emerging,this_week,64,79,39,75,0,87,high,'+950%,0,100,0,therapy,rising query,,Google Trends labels it +950%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,how to deal with burnout at work,rising,monitor,64,43,85,75,0,66,high,'+140%,86,86,86,burnout,rising query,,Google Trends labels it +140%; interest moved from 0 to 86; found through rising query,Track as a developing query and compare against existing coverage.
11,clarita therapy spa,emerging,this_week,63,75,41,75,0,85,high,'+850%,0,93,0,therapy,rising query,,Google Trends labels it +850%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
12,finland microbiome depression,emerging,this_week,62,72,41,75,0,83,high,'+800%,0,76,0,depression,rising query,,Google Trends labels it +800%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
13,selena gomez mental health,emerging,this_week,58,66,39,75,0,80,high,'+650%,0,63,0,mental health,rising query,,Google Trends labels it +650%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
14,mental health hotline,rising,monitor,56,46,58,75,0,68,high,'+300%,52,100,15,mental health awareness,rising query,,Google Trends labels it +300%; interest moved from 37 to 52; found through rising query,Track as a developing query and compare against existing coverage.
15,what is postpartum depression,rising,monitor,53,35,64,75,0,61,high,'+50%,26,100,26,depression,rising query,,Google Trends labels it +50%; interest moved from 0 to 26; found through rising query,Track as a developing query and compare against existing coverage.
16,group therapy band,watch,monitor,52,50,40,75,0,70,high,'+300%,0,35,0,therapy,rising query,,Google Trends labels it +300%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
17,empathy burnout meaning,watch,monitor,52,50,40,75,0,70,high,'+300%,0,35,0,burnout,rising query,,Google Trends labels it +300%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
