rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,fromm dog food,breakout,today,74,79,68,75,0,87,high,Breakout,31,100,29,food recall,rising query,,Google Trends labels it Breakout; interest moved from 2 to 31; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,salmonella contaminated pet food recall,breakout,today,66,82,39,75,0,89,high,Breakout,0,50,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,gifford's dairy ice cream recall,breakout,today,66,80,42,75,0,88,high,Breakout,0,100,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,alfalfa sprouts food poisoning outbreak,breakout,today,66,82,40,75,0,89,high,Breakout,0,22,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,uss lincoln food water shortages,breakout,today,66,82,39,75,0,89,high,Breakout,0,16,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,what should food workers do to prevent chemical hazards from contaminating food,breakout,today,66,82,40,75,0,89,high,Breakout,0,25,0,food contamination,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,a food worker washes her hands before taking a torn package of dry pasta,breakout,today,66,82,40,75,0,89,high,Breakout,0,16,0,food contamination,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,salmonella uk,emerging,this_week,66,82,39,75,0,89,high,'+2600%,0,17,-1,salmonella outbreak,rising query,,Google Trends labels it +2600%; interest moved from 1 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,publix blueberry recall,breakout,today,65,81,39,75,0,89,high,Breakout,0,52,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,nationwide indus foods chicken recall,breakout,today,64,80,37,75,0,88,high,Breakout,0,100,0,USDA recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
11,granola recall,breakout,today,62,81,29,75,0,89,high,Breakout,0,18,-18,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 18 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
12,project 2025 food,emerging,this_week,54,71,40,40,0,83,low,'+1150%,0,0,0,food safety,rising query,,Google Trends labels it +1150%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
