rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,ford sudden power loss recall,breakout,today,66,82,40,75,0,89,high,Breakout,0,15,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,fda salmonella pet food recall,breakout,today,65,81,38,75,0,89,high,Breakout,0,100,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,what is the latest news on the salmonella outbreak linked to evergreen fresh sprouts broccoli sprouts,emerging,this_week,63,80,40,65,0,88,medium,'+1500%,0,0,0,salmonella outbreak,rising query; too long for timeseries,,"Google Trends labels it +1500%; time-series validation was skipped or unavailable; found through rising query, too long for timeseries",Build an angle this week and monitor the next 24-48 hours.
4,chocolatey eyeballs product recall 13 states,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,food recall,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,up&up baby wipes safety recall,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,food recall,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,michelina's frozen meals recall,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,food recall,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,onondaga county restaurant inspection violations,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,restaurant inspection,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,restaurant depot,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,restaurant inspection,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,salmonella,emerging,this_week,54,71,40,40,0,83,low,'+3100%,0,0,0,food recall,rising query,,Google Trends labels it +3100%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,clorox recall,emerging,this_week,54,71,40,40,0,83,low,'+1800%,0,0,0,food recall,rising query,,Google Trends labels it +1800%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
