date_detected,priority_level,publish_timing,topic,primary_entity,signal_type,allowed_category,trend_strength_score,opportunity_score,discover_score,urgency,confidence,content_status,source_count,recommended_angle,why_now,primary_headline,next_steps,notes
"2026-07-14","P1","immediate","Extreme Heat and Mental Health Hospitalizations — Nature Study + WHO Advisory","Extreme heat / mental health hospitalizations","study_or_research","public health and epidemiology","84","82","5","today","high","new","4","Lead with Nature study's core finding—what sustained extreme heat means, which mental health conditions showed strongest hospitalization signals, multi-country methodology strength. Contrast with public assumption (heat affects physical health, not mental). Close with actionable guidance for vulnerable populations.","Nature-published multi-country study released 07-11-2026 found sustained extreme heat associated with increased mental health hospitalizations. WHO issued heat-and-health advisory 07-14-2026 (today). Convergence of peer-reviewed study and same-day WHO advisory creates P1 urgency.","Extreme Heat Is Sending People to Mental Health Hospitals — What a New International Study Found","Assign immediately; verify Nature DOI and pull specific effect sizes; commission expert quote from psychiatrist regarding medication-heat interaction.","Observational study—association, not causation. Confirm study design (ecological vs. individual-level cohort) before characterizing evidence strength. Nature DOI not directly retrieved—verify before publish. Multi-country findings may not map uniformly to US populations—note geographic variation."
"2026-07-14","P1","immediate","Cyclosporiasis West Virginia Outbreak — 2026 Update","Cyclosporiasis / West Virginia outbreak","breaking_news","public health and epidemiology","88","76","4","now","high","update","3","Practical public health explainer anchored to WV outbreak—what Cyclospora is, how it spreads (typically produce-linked), WV-specific case details from DHHR/CDC, who is most at risk, what to do if symptomatic. Demystify 'mysterious parasite' framing without alarming.","Google Trends shows 'west virginia cyclosporiasis outbreak' and 'mysterious parasite' as #1 and #2 real-time trending health searches in US today. Local outbreak broken into public awareness. Prior coverage (07-08, 07-11) was general; this is state-specific geographic development.","West Virginia Cyclosporiasis Outbreak: What the 'Mysterious Parasite' Is and Who's at Risk","Assign immediately; pull CDC cyclosporiasis surveillance update and WV DHHR outbreak notice; confirm case count and suspected source before publish.","WV case count and confirmed source not yet directly retrieved from CDC/DHHR—verify before publish. Do not overstate outbreak scope. 'Mysterious parasite' framing in search is public confusion, not scientific uncertainty—avoid amplifying alarm."
"2026-07-14","P2","short_term","Medical Cannabis for Dementia Agitation — New Study","Medical cannabis / dementia agitation","study_or_research","medical research and clinical trials","72","78","4","today","medium","new","3","Caregiver-focused reality check—what the study measured, what 'agitation' means clinically, effect sizes, limitations (RCT vs. observational? sample size?), and what dementia specialists currently recommend. Avoid overclaiming in either direction.","NYT (tier-1) published coverage 07-14-2026 (today). Dementia caregiving and agitation management are persistent audience pain points. Cannabis-as-medicine remains high-interest, frequently mischaracterized topic. 'Study suggests' framing indicates promising but non-conclusive findings.","Medical Cannabis May Help Calm Dementia Agitation, Study Suggests — But Here's What the Evidence Actually Shows","Verify journal and DOI via NYT article; confirm study design (RCT preferred); pull geriatric psychiatrist quote; publish within 24h given NYT same-day coverage.","Confidence capped at Medium—journal/DOI not directly retrieved. Verify before treating as confirmed RCT. 'Suggests' language in NYT headline indicates finding is not definitive—lead with actual study design and effect size. Medical cannabis legal status varies by state—include practical context. Do not generalize to dementia prevention or other cannabis health claims."
"2026-07-14","P2","short_term","HHS/VA MOU — Psychedelic Drug Trials Partnership for Veterans","HHS / VA psychedelic drug trials","clinical_trial","mental health and psychology","68","74","4","today","high","new","4","What the MOU actually commits to (access pathways, funding, trial design), which psychedelics in scope (ketamine already VA-approved; MDMA/psilocybin further from approval), what this realistically means for veterans seeking treatment now vs. 2-3 years. Avoid hype—this is policy/access development, not treatment approval.","HHS.gov published MOU announcement 07-13-2026; American Legion confirmed partnership. Veteran mental health (suicide rates, PTSD, treatment-resistant depression) is persistent high-urgency public health issue. Psychedelic-assisted therapy for PTSD is active, accelerating clinical research area. MOU is concrete institutional development.","The VA and HHS Just Signed a Deal to Expand Psychedelic Therapy Trials for Veterans — What It Means","Confirm HHS.gov announcement URL; identify which specific treatments in scope per MOU; pull ClinicalTrials.gov for active VA psychedelic trials; assign to writer with mental health/policy background.","MOU is partnership agreement, not drug approval—distinguish clearly from any implication that psychedelics now available to veterans. MDMA-assisted therapy FDA approval rejected 2024. Psilocybin remains Schedule I—contextual accuracy required."
"2026-07-14","P2","short_term","FDA Shampoo Recall — Bacterial Contamination Risk","FDA shampoo recall / bacterial contamination","breaking_news","public health","74","70","3","today","medium","new","3","Consumer-action focused—which brand(s), what contamination, what bacterial risk actually is (low for healthy users, higher for immunocompromised or those with broken skin/scalp conditions), what to do (stop using, check lot numbers, return/discard).","KAKE reported FDA recall 07-13-2026. Google Trends 'food safety' delta +11 today indicates heightened consumer recall awareness. Shampoo recalls for bacterial contamination underreported yet relevant to immunocompromised users and those with skin conditions. Not in run history.","FDA Announces Shampoo Recall Over Bacterial Contamination Risk — Here's What to Check","Pull FDA.gov recall notice immediately; confirm brand name, lot numbers, contamination type; assign for same-day publish once FDA details confirmed.","Breaking-recall exception applied—KAKE is primary signal source; FDA.gov recall notice URL not yet directly retrieved. Verify and confirm brand name, lot numbers, bacterial contaminant type before publish. Confidence capped at Medium until FDA.gov primary notice confirmed."
"2026-07-14","P2","short_term","FDA Infant Formula Advisory — Supplier Oversight and Botulism Outbreaks","FDA infant formula / supplier oversight / botulism","policy_or_regulatory_change","public health","66","72","4","today","high","new","3","Parent-facing explainer—what FDA's advisory says, what botulism risk in formula means clinically, which manufacturers affected (if named by FDA), what specific actions parents should take now (check lot numbers, contact pediatrician if concerned), how this relates to 2022 formula shortage/Abbott recall aftermath.","Reuters (tier-1) reported 07-13-2026 that FDA is urging infant formula manufacturers to tighten supplier oversight following product recalls and botulism outbreaks. Infant formula safety category has acute parental anxiety, high search intent, significant institutional stakes.","FDA Is Telling Infant Formula Makers to Tighten Supplier Oversight — Here's What Parents Should Know","Pull FDA advisory document; confirm manufacturer names if disclosed; verify Reuters URL; assign to writer with pediatric health background; publish within 24-48h.","Botulism in infant formula is extremely rare but severe—maintain proportionate language; avoid alarming without evidence of current harm. Confirm whether FDA has named specific manufacturers before publishing any brand-specific content."
"2026-07-14","P3","scheduled","Pew Research — Young Women Get Health and Wellness Information From Influencers","Pew Research Center / health influencers / young women","data_release","public health and epidemiology","60","65","3","this_week","high","new","3","Lead with Pew finding, then interrogate what kinds of health information young women getting from influencers (nutrition, mental health, supplements, GLP-1?) and what evidence says about influencer health content accuracy. Pair with Medscape story ('When Medical Mistrust, Wellness, and Politics Align') for broader cultural context. Avoid condescension; frame around information literacy.","Pew Research published data 07-13-2026. Young women health information seeking from influencers is persistent, growing trend with significant public health implications for misinformation spread.","Nearly 6 in 10 Young Women Get Health Information From Influencers — Here's Why That's a Public Health Problem","Pull Pew report URL; find specific data breakdown by topic area; assign this week.","Confirm Pew sample size, methodology, and age range before citing statistics. Avoid framing that implies all influencer health content is misinformation; some is credible."
"2026-07-14","P3","scheduled","Peanut Allergy Clinical Trial — Children's Healthcare of Atlanta Multi-Site Study","Peanut allergy / Children's Healthcare of Atlanta / multi-site trial","clinical_trial","pediatric health","58","63","3","this_week","medium","new","2","Parent-facing explainer—what the trial is testing (immunotherapy approach, dosing, eligibility criteria), how it differs from Palforzia (already FDA-approved peanut OIT), how families with peanut-allergic children can find out about trial eligibility. Context on broader peanut allergy treatment pipeline.","Georgia Public Broadcasting reported multi-site trial news 07-13-2026. Pediatric health, parent audience pain point, clinical trial angle.","A Major Multi-Site Clinical Trial for Peanut Allergies Has Begun — What Families Should Know","Find ClinicalTrials.gov NCT number; confirm what intervention being tested; verify GPB article URL.","Trial outcome data not yet available—frame as 'what this trial is studying,' not 'new treatment found.' Confirm trial registration on ClinicalTrials.gov before publish."
"2026-07-14","P3","this_week","ACEs (Adverse Childhood Experiences) Mental Health Test — Rising Search Interest","ACEs / adverse childhood experiences / mental health assessment","rising_search_interest","mental health and psychology","55","61","3","this_week","medium","new","2","Demystify ACEs questionnaire—what it measures, what your score means, what it doesn't predict (it's a research tool, not a diagnostic instrument), where to find evidence-based support if you score high. Rising 'aces mental health test' query indicates people finding test online and seeking context.","Rising Google Trends query 'aces mental health test' indicates sustained public interest. Strong evergreen + timely (rising search) candidate.","What Is the ACEs Mental Health Test — and Should You Take It?","Confirm rising search volume on Google Trends; assign as evergreen candidate; low production complexity.","ACE score is population-level research tool, not clinical diagnostic—be precise about what score means and doesn't mean for individuals. Avoid framing that implies high ACE score is deterministic for health outcomes; resilience and protective factors exist."
"2026-07-14","P3","scheduled","USC Longevity Diet Research — What the Evidence Says","USC longevity diet / Valter Longo","rising_search_interest","nutrition and diet science","52","60","3","this_week","low","new","1","Explain what USC/Longo longevity diet framework actually recommends (pescatarian, time-restricted eating, periodic fasting-mimicking diet), what evidence base is (primarily observational + mouse studies + some human trials), how it compares to Mediterranean diet and other evidence-based longevity frameworks. Distinct from Zeke Emanuel ice cream/caloric restriction story covered 07-13.","Rising Google Trends query 'university of southern california longevity diet' points to Valter Longo's research program. Diet search trend +14 delta today indicates heightened interest.","The USC Longevity Diet: What the Research Actually Recommends for Living Longer","Verify whether a new USC paper or announcement is driving the query spike before assigning; if no new paper, treat as evergreen; low urgency.","Confidence LOW—no specific new USC study confirmed; search-trend driven only. Much of Longo's longevity diet evidence is observational or animal-model—note limitations clearly. Fasting-mimicking diet (Prolon) is commercial product associated with Longo—disclose conflict of interest context."
