rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,connor storrie haircut,emerging,this_week,77,91,45,100,0,95,high,'+2050%,6,6,6,connor storrie,rising query; trending_now,,"Google Trends labels it +2050%; interest moved from 0 to 6; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
2,holafly us states natural beauty,breakout,today,66,82,39,75,0,89,high,Breakout,0,43,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,yuaia haircare,breakout,today,66,82,40,75,0,89,high,Breakout,0,36,0,haircare,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,human zoo bottle fragrance,breakout,today,66,82,39,75,0,89,high,Breakout,0,40,0,fragrance,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,allure fall fragrance trends,breakout,today,66,82,40,75,0,89,high,Breakout,0,47,0,fragrance,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,ufna niacinamide,emerging,this_week,66,82,40,75,0,89,high,'+2200%,0,37,0,niacinamide,rising query,ingredients: niacinamide,Google Trends labels it +2200%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,scalp massager,emerging,this_week,63,79,35,75,0,87,high,'+1200%,0,100,0,scalp care,rising query,,Google Trends labels it +1200%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,hair care comb,emerging,this_week,63,78,36,75,0,87,high,'+950%,0,100,0,scalp care,rising query,,Google Trends labels it +950%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,cvs coraline makeup,emerging,this_week,56,63,35,75,0,78,high,'+600%,0,29,-7,makeup,rising query,,Google Trends labels it +600%; interest moved from 7 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,21 days of beauty,rising,monitor,55,45,57,75,0,67,high,'+450%,43,100,17,beauty,rising query,,Google Trends labels it +450%; interest moved from 26 to 43; found through rising query,Track as a developing query and compare against existing coverage.
11,kkw beauty,watch,monitor,53,52,41,75,0,71,high,'+350%,0,43,0,beauty,rising query,,Google Trends labels it +350%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
12,glamfox rice niacinamide cream,watch,monitor,53,53,40,75,0,72,high,'+350%,0,21,0,niacinamide,rising query,ingredients: niacinamide,Google Trends labels it +350%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
13,humanrace skincare,watch,monitor,52,50,40,75,0,70,high,'+300%,0,39,0,skincare,rising query,,Google Trends labels it +300%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
14,txa 6 niacinamide 10 retinal serum,watch,monitor,52,50,40,75,0,70,high,'+300%,0,100,0,niacinamide,rising query,ingredients: niacinamide,Google Trends labels it +300%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
15,weleda skin food,watch,monitor,52,50,40,75,0,70,high,'+300%,0,50,0,skin barrier,rising query,,Google Trends labels it +300%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
16,new hair loss drug,watch,monitor,52,50,40,75,0,70,high,'+300%,0,16,0,hair loss,rising query,concerns: hair loss,Google Trends labels it +300%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
17,beauty brands salon,watch,monitor,50,46,42,75,0,68,high,'+250%,0,95,0,beauty,rising query,,Google Trends labels it +250%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
