rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,pomegranates and heart failure research,emerging,this_week,78,91,48,100,0,95,high,'+1900%,10,29,10,heart,rising query; trending_now,,"Google Trends labels it +1900%; interest moved from 0 to 10; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
2,dog food,breakout,today,75,79,55,100,0,87,high,Breakout,49,100,11,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 38 to 49; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
3,heart shaped curve,breakout,today,75,91,40,100,0,95,high,Breakout,0,16,0,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
4,who is hilaria baldwin married to,breakout,today,75,91,40,100,0,95,high,Breakout,0,34,0,hilaria baldwin,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
5,body composition heart failure research,emerging,this_week,75,91,40,100,0,95,high,'+1250%,0,44,0,heart,rising query; trending_now,,"Google Trends labels it +1250%; interest moved from 0 to 0; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
6,heart aerospace electric aircraft,emerging,this_week,75,91,40,100,0,95,high,'+1100%,0,22,0,heart,rising query; trending_now,,"Google Trends labels it +1100%; interest moved from 0 to 0; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
7,class i salmonella egg recall,breakout,today,74,90,38,100,0,94,high,Breakout,0,100,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
8,dog food salmonella,breakout,today,74,90,38,100,0,94,high,Breakout,0,100,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
9,aussie at heart cast,emerging,this_week,73,88,38,100,0,93,high,'+950%,0,100,0,heart,rising query; trending_now,,"Google Trends labels it +950%; interest moved from 0 to 0; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
10,coraline beauty creations,breakout,today,66,79,45,75,0,87,high,Breakout,0,100,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
11,coraline x beauty creations,breakout,today,66,82,41,75,0,89,high,Breakout,0,27,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
12,holafly us states natural beauty,breakout,today,66,82,41,75,0,89,high,Breakout,0,40,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
13,coraline cvs makeup,breakout,today,66,81,42,75,0,89,high,Breakout,0,51,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
14,beauty creations coraline,breakout,today,66,79,45,75,0,87,high,Breakout,0,100,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
15,human zoo fragrance,breakout,today,66,81,42,75,0,89,high,Breakout,0,100,0,fragrance,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
16,human zoo bottle fragrance,breakout,today,66,82,41,75,0,89,high,Breakout,0,40,0,fragrance,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
17,hair loss elastin protein research,breakout,today,66,82,40,75,0,89,high,Breakout,0,35,0,hair loss,rising query,concerns: hair loss,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
18,tate mcrae beauty brand,emerging,this_week,66,82,40,75,0,89,high,'+1250%,0,18,0,beauty,rising query,,Google Trends labels it +1250%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
19,fda salmonella enteritidis eggs recall,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
20,"identify current egg recalls, affected brands, and salmonella symptoms",breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
21,amazon granola salmonella recall,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
