rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,eagles running back injury,breakout,today,72,80,60,75,0,88,high,Breakout,22,100,22,running,rising query,,Google Trends labels it Breakout; interest moved from 0 to 22; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,bike fitness,breakout,today,66,81,42,75,0,89,high,Breakout,6,13,2,fitness ideas,rising query,,Google Trends labels it Breakout; interest moved from 4 to 6; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,fitness tee co reviews,breakout,today,66,82,40,75,0,89,high,Breakout,0,16,0,fitness reviews,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,raad al amir weightlifting,emerging,this_week,66,82,40,75,0,89,high,'+4400%,0,15,0,weightlifting,rising query,,Google Trends labels it +4400%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
5,harley pasternak fitness advice,emerging,this_week,66,82,40,75,0,89,high,'+2550%,0,32,0,fitness,rising query,,Google Trends labels it +2550%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
6,pegasus plus 2 running shoes,emerging,this_week,66,82,41,75,0,89,high,'+1950%,0,19,0,running,rising query,,Google Trends labels it +1950%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,is ron desantis running for governor of florida again,emerging,this_week,66,82,39,75,0,89,high,'+1100%,0,34,0,running,rising query,,Google Trends labels it +1100%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,avoiding running backs fantasy 2026,emerging,this_week,65,81,38,75,0,89,high,'+4500%,0,93,0,running,rising query,,Google Trends labels it +4500%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,casio f-b100w fitness tracker,emerging,this_week,65,81,38,75,0,89,high,'+4400%,0,64,0,fitness,rising query,,Google Trends labels it +4400%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,rogue fitness,breakout,today,62,74,38,75,0,84,high,Breakout,29,88,-13,fitness benefits,rising query,,Google Trends labels it Breakout; interest moved from 42 to 29; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
