rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,the diet that changed my life in four weeks,breakout,today,66,80,43,75,0,88,high,Breakout,0,76,0,diet,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,washu medicine keto mediterranean diet study,breakout,today,66,82,39,75,0,89,high,Breakout,0,21,0,diet,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,rose ferguson diet and lifestyle overhaul,breakout,today,66,82,40,75,0,89,high,Breakout,0,42,0,diet,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,dolly parton diet,breakout,today,66,82,39,75,0,89,high,Breakout,0,22,-1,diet,rising query,,Google Trends labels it Breakout; interest moved from 1 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,candida elimination diet,breakout,today,66,82,40,75,0,89,high,Breakout,0,100,0,elimination diet,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,7 day keto diet plan for weight loss,emerging,this_week,66,82,40,75,0,89,high,'+3400%,0,27,0,keto diet,rising query,,Google Trends labels it +3400%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,designates a diet product,emerging,this_week,66,82,40,75,0,89,high,'+2450%,0,32,0,diet,rising query,,Google Trends labels it +2450%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,is xylitol in diet coke,emerging,this_week,66,82,40,75,0,89,high,'+1300%,0,29,0,diet,rising query,,Google Trends labels it +1300%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,16/8 fasting schedule,emerging,this_week,59,66,40,75,0,80,high,'+650%,0,33,0,intermittent fasting,rising query,,Google Trends labels it +650%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,mediterranean keto diet,emerging,this_week,54,58,37,75,0,75,high,'+500%,0,100,0,Mediterranean diet,rising query,,Google Trends labels it +500%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
11,keto mediterranean diet,watch,monitor,53,56,37,75,0,74,high,'+450%,0,87,0,keto diet,rising query,,Google Trends labels it +450%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
12,what is a detox diet,rising,monitor,52,39,55,75,0,63,high,'+70%,17,100,17,diet,rising query,,Google Trends labels it +70%; interest moved from 0 to 17; found through rising query,Track as a developing query and compare against existing coverage.
