rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,wells fargo glp-1 pipeline report,breakout,today,66,82,40,75,0,89,high,Breakout,0,17,0,GLP-1,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,what is the strongest weight loss prescription pill,breakout,today,66,82,40,75,0,89,high,Breakout,0,19,0,weight loss medication,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,billy gardell weight loss transformation,breakout,today,65,81,39,75,0,89,high,Breakout,0,78,0,weight loss,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,dr. steven heymsfield glp-1 research,breakout,today,65,81,38,75,0,89,high,Breakout,0,48,0,GLP-1,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,chrissy metz glp-1 usage,breakout,today,65,81,38,75,0,89,high,Breakout,0,100,0,GLP-1,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,best glp 1 supplement for weight loss,emerging,this_week,63,75,42,75,0,85,high,'+850%,3,15,3,weight loss medication,rising query,,Google Trends labels it +850%; interest moved from 0 to 3; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,medvi weight loss,emerging,this_week,62,70,44,75,0,82,high,'+750%,4,14,4,weight loss,rising query,,Google Trends labels it +750%; interest moved from 0 to 4; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,colon broom weight loss,emerging,this_week,61,70,42,75,0,82,high,'+750%,2,7,2,weight loss medication,rising query,,Google Trends labels it +750%; interest moved from 0 to 2; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,embody glp-1,rising,monitor,57,44,63,75,0,66,high,'+250%,30,100,26,GLP-1,rising query,,Google Trends labels it +250%; interest moved from 4 to 30; found through rising query,Track as a developing query and compare against existing coverage.
10,em weight loss,watch,monitor,50,44,42,75,0,66,high,'+160%,2,8,2,weight loss medication,rising query,,Google Trends labels it +160%; interest moved from 0 to 2; found through rising query,Keep on watchlist unless another signal channel confirms it.
