rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,eric falstrault fitness transformation,breakout,today,66,81,42,75,0,89,high,Breakout,0,100,0,fitness,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,simple hiit workout,breakout,today,66,82,40,75,0,89,high,Breakout,0,42,0,HIIT workout,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,what is barre workout,breakout,today,66,82,40,75,0,89,high,Breakout,0,21,0,HIIT workout,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,tammy wong weightlifting,breakout,today,66,82,40,75,0,89,high,Breakout,0,39,0,weightlifting,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,harbinger weightlifting belt,breakout,today,66,82,40,75,0,89,high,Breakout,0,27,0,weightlifting,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,why is desantis not running for governor,emerging,this_week,66,80,44,75,0,88,high,'+1500%,0,100,0,running,rising query,,Google Trends labels it +1500%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,is ron desantis running for governor of florida again,emerging,this_week,66,82,41,75,0,89,high,'+1400%,0,33,0,running,rising query,,Google Trends labels it +1400%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,low impact cardio machines,emerging,this_week,66,82,40,75,0,89,high,'+1150%,0,26,0,cardio,rising query,,Google Trends labels it +1150%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,fantasy running backs to avoid,emerging,this_week,66,82,40,75,0,89,high,'+1050%,0,35,0,running,rising query,,Google Trends labels it +1050%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,lions signing veteran running back,breakout,today,65,81,38,75,0,89,high,Breakout,0,44,0,running,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
11,2026 must-have running back picks,breakout,today,64,80,37,75,0,88,high,Breakout,0,100,0,running,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
12,explain why improving cardiorespiratory fitness and muscular strength and endurance are considered good strategies for improving body composition.,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,fitness benefits,rising query; too long for timeseries,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, too long for timeseries","Prioritize a same-day brief, then validate sources before publishing."
13,distinguish between different kinds of cardiorespiratory fitness assessments and explain why different tests provide different information about fitness levels.,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,fitness benefits,rising query; too long for timeseries,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, too long for timeseries","Prioritize a same-day brief, then validate sources before publishing."
14,is kamala harris running for president 2028,watch,monitor,54,55,40,75,0,73,high,'+400%,0,27,0,running,rising query,,Google Trends labels it +400%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
